#b000
#b001
#b010
#b011
#b100
#b101
#b110
#b111
#b1000
#b1001
#b1010
#b1011
#b1100
#b1101
#b1110
#b10001
#b10010
#b10011
#b10100
#b10110
#b10111
#b11000
#b11001
#b11010
#b11011
#b11100
#b11101
#b100010
#b100011
#b100101
#b100110
#b100111
#b101000
#b101001
#b101100
#b101110
#b110001
#b110010
#b110011
#b110100
#b110111
#b111000
#b111001
#b111010
#b111011
#b1000101
#b1000110
#b1000111
#b1001011
#b1001101
#b1001110
#b1010001
#b1010011
#b1011000
#b1011001
#b1011100
#b1100010
#b1100011
#b1100101
#b1100111
#b1101000
#b1101001
#b1110001
#b1110010
#b1110011
#b1110100
#b10001011
#b10001101
#b10001110
#b10010110
#b10010111
#b10011010
#b10011101
#b10100011
#b10100110
#b10100111
#b10110001
#b10110010
#b10111000
#b10111001
#b11000101
#b11000111
#b11001011
#b11010001
#b11010011
#b11100010
#b11100011
#b11100101
#b11101000
#b11101001
#b100010110
#b100010111
#b100011010
#b100011101
#b100101110
#b100111010
#b101000110
#b101000111
#b101001110
#b101100010
#b101110001
#b101110010
#b110001011
#b110010111
#b110100011
#b110100111
#b111000101
#b111001011
#b111010001
#b111010011
#b1000101110
#b1000111010
#b1010001110
#b1011100010
#b1100010111
#b1101000111
#b1110001011
#b1110100011
