#b0000
#b0001
#b0010
#b0011
#b0100
#b0101
#b0110
#b0111
#b1000
#b1001
#b1010
#b1011
#b1100
#b1101
#b1110
#b1111
#b10000
#b10001
#b10010
#b10011
#b10100
#b10101
#b10110
#b10111
#b11000
#b11001
#b11010
#b11011
#b11100
#b11101
#b11110
#b100001
#b100010
#b100011
#b100100
#b100101
#b100110
#b100111
#b101000
#b101001
#b101011
#b101100
#b101101
#b101110
#b101111
#b110000
#b110001
#b110010
#b110011
#b110100
#b110101
#b110110
#b110111
#b111000
#b111001
#b111010
#b111011
#b111100
#b111101
#b1000010
#b1000011
#b1000100
#b1000101
#b1000110
#b1000111
#b1001000
#b1001010
#b1001011
#b1001100
#b1001101
#b1001110
#b1001111
#b1010000
#b1010001
#b1010010
#b1010011
#b1010110
#b1010111
#b1011000
#b1011001
#b1011010
#b1011100
#b1011101
#b1011110
#b1100001
#b1100010
#b1100011
#b1100100
#b1100101
#b1100110
#b1100111
#b1101000
#b1101001
#b1101011
#b1101100
#b1101110
#b1101111
#b1110000
#b1110001
#b1110010
#b1110011
#b1110100
#b1110101
#b1110110
#b1110111
#b1111000
#b1111001
#b1111010
#b1111011
#b10000100
#b10000101
#b10000110
#b10000111
#b10001001
#b10001010
#b10001011
#b10001100
#b10001101
#b10001110
#b10001111
#b10010000
#b10010001
#b10010100
#b10010110
#b10010111
#b10011000
#b10011010
#b10011011
#b10011100
#b10011101
#b10011110
#b10100001
#b10100010
#b10100011
#b10100101
#b10100110
#b10100111
#b10101100
#b10101101
#b10101110
#b10101111
#b10110000
#b10110001
#b10110010
#b10110011
#b10110100
#b10110101
#b10111000
#b10111001
#b10111010
#b10111100
#b10111101
#b11000010
#b11000011
#b11000100
#b11000101
#b11000110
#b11000111
#b11001000
#b11001010
#b11001011
#b11001101
#b11001110
#b11001111
#b11010000
#b11010001
#b11010010
#b11010011
#b11010110
#b11010111
#b11011000
#b11011001
#b11011100
#b11011110
#b11100001
#b11100010
#b11100011
#b11100100
#b11100101
#b11100110
#b11100111
#b11101000
#b11101001
#b11101011
#b11101100
#b11101111
#b11110000
#b11110001
#b11110010
#b11110011
#b11110100
#b11110101
#b11110110
#b11110111
#b100001001
#b100001010
#b100001011
#b100001100
#b100001101
#b100001110
#b100001111
#b100010011
#b100010100
#b100010110
#b100010111
#b100011001
#b100011010
#b100011011
#b100011100
#b100011101
#b100011110
#b100100001
#b100100011
#b100101000
#b100101100
#b100101101
#b100101110
#b100101111
#b100110000
#b100110001
#b100110100
#b100110101
#b100110111
#b100111000
#b100111010
#b100111011
#b100111100
#b100111101
#b101000010
#b101000011
#b101000101
#b101000110
#b101000111
#b101001011
#b101001100
#b101001101
#b101001110
#b101001111
#b101011000
#b101011001
#b101011100
#b101011101
#b101011110
#b101100001
#b101100010
#b101100011
#b101100100
#b101100101
#b101100111
#b101101000
#b101101001
#b101110000
#b101110001
#b101110010
#b101110011
#b101110100
#b101110101
#b101111000
#b101111001
#b101111010
#b110000100
#b110000101
#b110000110
#b110000111
#b110001001
#b110001010
#b110001011
#b110001101
#b110001110
#b110001111
#b110010000
#b110010001
#b110010100
#b110010110
#b110010111
#b110011010
#b110011011
#b110011101
#b110011110
#b110100001
#b110100010
#b110100011
#b110100101
#b110100110
#b110100111
